,Gpp
2016-01-01,1.3961144182714455e-06
2016-01-09,1.4964095041533777e-05
2016-01-17,0.00015213382912310065
2016-01-25,0.0006281866716700488
2016-02-02,0.0012580722192846328
2016-02-10,0.038674926228529506
2016-02-18,0.0015069814249407225
2016-02-26,0.0
2016-03-05,8.446620157947707e-06
2016-03-13,0.004663809336994906
2016-03-21,0.004727808859399252
2016-03-29,0.009441748682347735
2016-04-06,0.014988244324287449
2016-04-14,0.012655252699268264
2016-04-22,0.010126075869479953
2016-04-30,0.04561917972947624
2016-05-08,1.1080219011718155e-05
2016-05-16,0.0
2016-05-24,0.02003182919132823
2016-06-01,0.02073555017312844
2016-06-09,0.017366987053746567
2016-06-17,0.03621004997697311
2016-06-25,8.896924625172706e-06
2016-07-03,0.01609220495676052
2016-07-11,0.014774893820253486
2016-07-19,0.012320976683098239
2016-07-27,0.008351950466508617
2016-08-04,0.009840039572210763
2016-08-12,0.006771403107783104
2016-08-20,0.0076768681665444274
2016-08-28,0.007766848892148666
2016-09-05,0.008439066471079884
2016-09-13,0.008160683644054806
2016-09-21,0.006455729442065951
2016-09-29,0.004769089327442983
2016-10-07,0.005472947617991713
2016-10-15,0.0031968819827042105
2016-10-23,0.0014578590069421922
2016-10-31,0.0026269594214269865
2016-11-08,0.004231105122213316
2016-11-16,0.0015848354853565732
2016-11-24,0.0007863433230422854
2016-12-02,0.0006997637607245834
2016-12-10,0.0004177094171627414
2016-12-18,0.0
2016-12-26,4.216657853889848e-05
2017-01-01,0.0
2017-01-09,4.737237109181772e-05
2017-01-17,0.00019415030617292415
2017-01-25,0.00012269517457826634
2017-02-02,0.0010184914800347995
2017-02-10,0.001501086530097053
2017-02-18,0.0006428019513193581
2017-02-26,0.0005110486635850382
2017-03-06,0.0035394366077063488
2017-03-14,0.004175744111075106
2017-03-22,0.003324907465843381
2017-03-30,0.0070192684258106345
2017-04-07,0.003755125624712164
2017-04-15,0.008179706449246931
2017-04-23,0.009433285858051761
2017-05-01,0.016457322564688626
2017-05-09,0.013645982226619151
2017-05-17,0.021825526634485823
2017-05-25,0.02433275026864757
2017-06-02,0.02312489723165098
2017-06-10,0.019070517850137317
2017-06-18,0.019360320330223287
2017-06-26,0.018215123577873693
2017-07-04,0.011682982243676128
2017-07-12,0.01214275163320654
2017-07-20,0.010855346512698922
2017-07-28,0.007321900318965664
2017-08-05,0.008516301362853296
2017-08-13,0.009339021270063289
2017-08-21,0.007155581046275611
2017-08-29,0.0055842282566053204
2017-09-06,0.007389988401248579
2017-09-14,0.005318292766131654
2017-09-22,0.005598261040135092
2017-09-30,0.005103410544629611
2017-10-08,0.0027866204990874494
2017-10-16,0.003139740222081973
2017-10-24,0.004057063298480217
2017-11-01,0.001593757995462834
2017-11-09,0.0014062351817421995
2017-11-17,0.0014869701673290393
2017-11-25,0.0008038847288791847
2017-12-03,0.0009543051836184685
2017-12-11,0.0009496801814863432
2017-12-19,0.0004156583144285064
2017-12-27,0.000950681426646424
2018-01-01,0.0008957314889044368
2018-01-09,0.0016070769440701363
2018-01-17,0.000511133948522014
2018-01-25,0.001322502430620705
2018-02-02,0.0028050463097207858
2018-02-10,0.001324193630920909
2018-02-18,0.00022219455199822777
2018-02-26,5.861974858000572e-05
2018-03-06,0.0023543520903338048
2018-03-14,0.0015996085421392855
2018-03-22,0.0025770157094854003
2018-03-30,0.00631732904634384
2018-04-07,0.0053171806505535
2018-04-15,0.0064740622921179766
2018-04-23,0.011195838095075659
2018-05-01,0.016658287137325804
2018-05-09,0.017973283640643403
2018-05-17,0.022334824398314787
2018-05-25,0.04580185409452984
2018-06-02,0.025228569601037067
2018-06-10,0.02163525508724653
2018-06-18,0.025242967404097122
2018-06-26,0.019147932693127753
2018-07-04,0.015419612124106653
2018-07-12,0.009492923055929865
2018-07-20,0.009146161324986789
2018-07-28,0.00807606648813688
2018-08-05,0.007430267624132219
2018-08-13,0.006909757449639244
2018-08-21,0.008087139031504263
2018-08-29,0.008257649205997255
2018-09-06,0.00804488631517902
2018-09-14,0.007055924744571623
2018-09-22,0.0060888404659969
2018-09-30,0.004063248162109601
2018-10-08,0.0039699686151432
2018-10-16,0.004427871970252607
2018-10-24,0.0030253057464990456
2018-11-01,0.0024269440701383434
2018-11-09,0.0018805448001773866
2018-11-17,0.0014187712146280771
2018-11-25,0.0009137351390997332
2018-12-03,0.00027078479199004027
2018-12-11,0.0009202551725314275
2018-12-19,0.00034452641274498126
2018-12-27,0.00013827587971412572
2019-01-01,0.00023545465399901205
2019-01-09,0.0007381863305303012
2019-01-17,0.0005031785696010377
2019-01-25,0.001648399201732986
2019-02-02,0.0002577737220052214
2019-02-10,2.0150272058948962e-05
2019-02-18,2.935848670407832e-05
2019-02-26,0.00044870708035546866
2019-03-06,0.0006640703089020432
2019-03-14,0.002275055861633719
2019-03-22,0.001738586316884709
2019-03-30,0.0029528314599075534
2019-04-07,0.004523827758541288
2019-04-15,0.008357079502618249
2019-04-23,0.013293629215208012
2019-05-01,0.0162161128831426
2019-05-09,0.015129860814982875
2019-05-17,0.008324741160216287
2019-05-25,0.015995084176232806
2019-06-02,0.02221468094905081
2019-06-10,0.020089308680300896
2019-06-18,0.018228689852798196
2019-06-26,0.01836007385675544
2019-07-04,0.015071220598017998
2019-07-12,0.014727615262592286
2019-07-20,0.010937491258293967
2019-07-28,0.009626995241100531
2019-08-05,0.008093169529397726
2019-08-13,0.00844178620772
2019-08-21,0.007400336875501051
2019-08-29,0.00767572534838898
2019-09-06,0.00844764443004076
2019-09-14,0.005697961690006316
